FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e61,493445,POINT (16.332549131133266 48.17631947623491),Grete-Salzer-Park,12,"Karussell, Klettern, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e62,493446,POINT (16.396481201748642 48.22590920680427),Rudolf-Bednar-Park,2,"Balancieren, Basketball, Karussell, Klettern, Reck, Rutschen, Schaukeln, Skaten, Tischtennis, Volleyball, Wippen","Ballspielplatz, Kleinkinderspielplatz, Skaterpark, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e63,493408,POINT (16.389957506633927 48.15822342702954),PA Endlichergasse,10,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e64,493447,POINT (16.39766317758105 48.226673644646304),Rudolf-Bednar-Park,2,"Balancieren, Fitness, Karussell, Klettern, Rutschen, Sand-Matsch, Schaukeln, Spielhaus, Wasserspiel, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e65,493448,POINT (16.326799110121165 48.164718719591455),Miep-Gies-Park,12,"Balancieren, Fitness, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Spieltisch, Wippen","Kleinkinderspielplatz, Spielplatz, Themenspielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e66,493449,POINT (16.381447455589665 48.15389720055068),PA Favoritenstraße,10,"Drehen, Schaukeln, Tischtennis","Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e67,493450,POINT (16.40423629778719 48.195966015676134),Bock-Park,3,"Klettern, Schaukeln, Streetball","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e68,493451,POINT (16.36133736934565 48.19866745216867),Alfred-Grünwald-Park,6,"Fußball, Klettern, Rodelhügel, Rutschen, Sandspielen, Schaukeln, Seilbahn, Streetball, Wasserspiel, Wippen","Ballspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e69,493452,POINT (16.3513348578932 48.18021594084779),Herweghpark,5,"Basketball, Fußball, Tischtennis","Ballspielkäfig, Ballspielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e6a,493453,POINT (16.357600377686598 48.23016298690294),PA Augasse,9,"Rutschen, Sandspielen, Schaukeln, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e6b,493454,POINT (16.492206352091543 48.24812487063365),PA Feuerwehrspielplatz,22,"Balancieren, Hängematte, Klettern, Rutschen, Schaukeln, Themenspiel Feuerwehr, Wasserspiel, Wippen",Themenspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e6c,493455,POINT (16.49279775764789 48.24887513731667),PA Feuerwehrspielplatz,22,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e6d,493456,POINT (16.31286500491959 48.12864571810131),PA Basler Gasse,23,"Fußball, Karussell, Klettern, Rutschen, Schaukeln, Wasserspiel","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e6e,493457,POINT (16.30611624769883 48.169323910452235),PA Schlöglgasse,12,"Balancieren, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e6f,493458,POINT (16.432032875455135 48.28790241850419),Alma-Rosé-Park,21,"Fitness, Klettern, Sand-Matsch","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e70,493459,POINT (16.364524924271514 48.21758175690362),Erwin-Ringel-Park,9,"Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e71,493460,POINT (16.339705307271743 48.18138061694669),Steinbauerpark,12,"Basketball, Fußball, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Slackline, Tischtennis, Volleyball, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e72,493461,POINT (16.34265567234542 48.18761900918963),Stefan-Weber-Park,5,"Basketball, Beachvolleyball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e73,493462,POINT (16.345060917123977 48.184775382812894),Stefan-Weber-Park,5,"Basketball, Tischtennis","Ballspielkäfig, Ballspielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e74,493463,POINT (16.470328741607748 48.227506605744104),GA Zschokkegasse,22,"Klettern, Rutschen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e75,493464,POINT (16.32127709791178 48.22422979179726),Clemens-Krauss-Park,17,", Karussell, Rutschen, Sandspielen, Spielhaus, WIppen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e76,493465,POINT (16.34790104477436 48.24971694459665),PA Hungerbergstraße,19,"Basketball, Klettern, Rutschen, Sandspielen, Schaukeln, WIppen","Ballspielkäfig, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e77,493466,POINT (16.336713974107997 48.22352897927623),PA Johann-Nepomuk-Vogl-Platz,18,"Klettern, Rutschen, Sandspielen, Schaukeln, Tischtennis, Wippen","Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e78,493467,POINT (16.494952904750814 48.27795335576904),GA Süßenbrunner Platz,22,"Hängematte, Karussel",Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e79,493468,POINT (16.32781038763568 48.1804600807211),Christine-Busta-Park,12,"Basketball, Fußball, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e7a,493469,POINT (16.480648549984398 48.2374904341202),PA Quadenstraße,22,Streetball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e7b,493470,POINT (16.53200724112842 48.24948873574027),PA Breitenleer Straße,22,"Karussell, Klettern, Rutschen, Wippe",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e7c,493471,POINT (16.365239403034796 48.19156465111497),Rubenspark,4,"Basketball, Klettern, Rutschen, Sandspielen, Schaukeln, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e7d,493472,POINT (16.35054551023231 48.2123828220305),Schönbornpark,8,"Basketball, Beachvolleyball, Bodenspiel, Drehen, Fußball, Klettern, Reck, Rutschen, Sand-Matsch, Schaukeln, Spielhaus, Tischtennis, Wasserspiel, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e7e,493473,POINT (16.496894251275897 48.17336234923672),Linker Donaudamm Spielplatz 5,22,"Beachvolleyball, Karussell, Schaukeln, Wippen","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e7f,493474,POINT (16.270189942054223 48.15111064625241),Rathauspark (Mauer),23,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e80,493475,POINT (16.402383404464665 48.18409804137221),Hans-Pemmer-Park,3,"Balancieren, Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e81,493476,POINT (16.484395208607307 48.2213371934989),PA Pilotengasse,22,"Balancieren, Fußball, Klettern, Schaukeln, Themenspiel Piloten, Volleyball, Wippen","Ballspielplatz, Themenspielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e82,493477,POINT (16.289892265856132 48.15438357816455),PA Tullnertalgasse,23,"Fußball, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e83,493478,POINT (16.28699585149451 48.1731427272187),PA Himmelbaurgasse,13,"Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e84,493479,POINT (16.342340704151752 48.21201407533497),GA Bennoplatz,8,"Basketball, Fußball, Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Streetball, Wippen","Ballspielkäfig, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e85,493480,POINT (16.33906666848341 48.19413577884224),GA Mariahilfer Gürtel,15,Fitness,Generationenspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e86,493481,POINT (16.368326951674455 48.17504286734827),Laubepark,10,"Dreifachreck, Fitness, Fußball, Karussell, Klettern, Kreisel, Rutschen, Sand-Matsch, Schaukeln, Streetball, Tischtennis, Trampolin, Volleyball","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e87,493482,POINT (16.365577432396055 48.1660427143237),PA Rudolfshügelgasse,10,"Basketball, Fußball, Klettern","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e88,493483,POINT (16.344820408982386 48.22524756662519),PA Kutschkergasse,18,"Rutschen, Sandspielen, Schaukeln, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e89,493484,POINT (16.455811903979907 48.25279978509337),PA Ernst-Jandl-Weg,22,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e8a,493485,POINT (16.47690384246203 48.21856335349574),PA Eibengasse,22,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e8b,493486,POINT (16.360006853538543 48.186563008994824),PA Zentaplatz,5,"Rutsche, Schaukel, Spielschiff, Wippe",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e8c,493487,POINT (16.314469960764583 48.22501149020881),PA Dr.-Josef-Resch-Platz,17,"Klettern, Reck, Rutschen, Sandkspielen, Schaukeln",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e8d,493618,POINT (16.28595742184881 48.19646458992153),Gustav-Klimt-Park,14,"Balancieren, Fitness, Generationenspielplatz, Hängematte, Klettern, Malen, Rutschen, Sandspielen, Schaukeln, Seilbahn, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
